2025-	2-	10-	19:	42:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	43:	11,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	43:	39,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	43:	52,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	43:	53,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	44:	17,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	45:	17,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	45:	35,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	45:	55,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	50:	54,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	52:	11,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	52:	35,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	52:	59,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	19:	57:	40,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	13:	37,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	37:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	37:	52,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	38:	14,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	38:	31,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	38:	46,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	38:	56,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	40:	35,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	44:	21,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	45:	13,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	50:	28,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	51:	9,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	20:	52:	50,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	2:	38,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	4:	59,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	5:	19,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	5:	24,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	5:	32,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	5:	39,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	5:	59,Nt:8,Nr:8,mu:4,samples:32
